                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  2.902,                 4.8672,                 2.7586,                      0,                      0,                      0,                      0,                 2.8277,                 5.8342,                 3.0005,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 3.0878,                 4.8154,                  2.895,                      0,                      0,                      0,                      0,                 2.8798,                 5.8281,                 2.9777,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 2.7428,                 4.7509,                 2.5785,                      0,                      0,                      0,                      0,                 2.8798,                 5.8281,                 2.9777,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 2.5725,                 4.8145,                 2.6375,                      0,                      0,                      0,                      0,                 2.8798,                 5.8281,                 2.9777,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 2.6285,                 4.8155,                 2.6294,                      0,                      0,                      0,                      0,                 2.9062,                 5.8309,                 2.9612,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 2.4896,                 4.7938,                 2.5463,                      0,                      0,                      0,                      0,                 2.9062,                 5.8309,                 2.9612,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 2.4421,                 4.6447,                 2.6222,                      0,                      0,                      0,                      0,                 2.9062,                 5.8309,                 2.9612,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                  2.754,                 5.0559,                 2.8306,                      0,                      0,                      0,                      0,                 2.9189,                 5.8163,                 2.9247,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 2.6568,                 4.8342,                 2.6411,                      0,                      0,                      0,                      0,                 2.9189,                 5.8163,                 2.9247,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 3.0511,                 4.9002,                 3.0111,                      0,                      0,                      0,                      0,                 2.9189,                 5.8163,                 2.9247,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.4245,                 4.7375,                 2.6536,                      0,                      0,                      0,                      0,                 2.9542,                 5.8026,                 2.9057,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 3.1336,                 4.9747,                  2.925,                      0,                      0,                      0,                      0,                 2.9542,                 5.8026,                 2.9057,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 3.1056,                 5.0532,                 2.8018,                      0,                      0,                      0,                      0,                 2.9542,                 5.8026,                 2.9057,             2.5573e-05,             2.5573e-05,             2.5573e-05
